"","variable","question","labels"
"231","skala4_r1","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Jestem osob¹ pe³n¹ niepokoju.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"232","skala4_r2","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Mam sk³onnoœæ do impulsywnych zachowañ.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"233","skala4_r3","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Wolê trzymaæ siê z dala od innych ludzi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"234","skala4_r4","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Bywa³em tak wœciek³y, ¿e wdawa³em siê w bójki.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"235","skala4_r5","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Przeznaczam wiele czasu na organizacjê i porz¹dkowanie ró¿nych kwestii.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"236","skala4_r6","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Kiedy coœ mi w ¿yciu nie idzie zgodnie z planem, bardzo mnie to martwi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"237","skala4_r7","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Nie jestem zbyt odpowiedzialn¹ osob¹.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"238","skala4_r8","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Inni ludzie twierdz¹, ¿e nie okazujê swoich emocji.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"239","skala4_r9","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Problemy innych ludzi wydaj¹ mi siê œmieszne.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"240","skala4_r10","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Nie podejmujê ¿adnego ryzyka.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"241","skala4_r11","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Mój nastrój w ci¹gu tygodnia czêsto siê zmienia.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"242","skala4_r12","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Nie jestem zbyt zorganizowan¹ osob¹.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"243","skala4_r13","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Wœród innych ludzi jestem ma³omówny.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"244","skala4_r14","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - £atwo mi sk³oniæ innych, aby robili to, co ja chcê.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"245","skala4_r15","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Bardzo starannie wszystko rozwa¿am, zanim coœ zrobiê.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"246","skala4_r16","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Kiedy sprawy uk³adaj¹ siê dla mnie niepomyœlnie, denerwujê siê bardziej ni¿ inni ludzie.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"247","skala4_r17","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Podejmujê lekkomyœlne decyzje.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"248","skala4_r18","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Z nikim nie mam bliskich relacji.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"249","skala4_r19","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Jestem nastawiony bardziej rywalizacyjnie ni¿ inni ludzie.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"250","skala4_r20","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Inni ludzie uwa¿aj¹ mnie za perfekcjonistê.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"251","skala4_r21","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Po jakiejœ trudnej sytuacji, d³ugo zajmuje mi powrót do normalnoœci.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"252","skala4_r22","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Czasem porzucam pracê bez powiadomienia moich wspó³pracowników.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"253","skala4_r23","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - W zasadzie zawsze czujê siê tak samo.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"254","skala4_r24","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Niektórzy ludzie zas³uguj¹ na to, aby byæ bezdomnymi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"255","skala4_r25","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Zawsze wybieram najbezpieczniejsz¹ opcjê.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"256","skala4_r26","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Mój nastrój zmienia siê niezale¿ne od tego, co siê dzieje w moim ¿yciu.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"257","skala4_r27","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Jestem doœæ niedba³y i nieuporz¹dkowany.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"258","skala4_r28","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Najlepiej opisuje mnie okreœlenie \""nieœmia³a osoba\"".","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"259","skala4_r29","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Czêsto pochlebiam ludziom, których nie lubiê, aby zrobili to, co chcê.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"260","skala4_r30","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Nigdy nie dzia³am impulsywnie.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"261","skala4_r31","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Inni ludzie zauwa¿aj¹ moje zdenerwowanie.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"262","skala4_r32","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Zwykle najpierw dzia³am, a potem myœlê.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"263","skala4_r33","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Inni ludzie uwa¿aj¹, ¿e jestem wycofany i pe³en rezerwy.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"264","skala4_r34","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Zawsze jestem gotowy na konflikt z innymi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"265","skala4_r35","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - D¹¿ê do perfekcji.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"266","skala4_r36","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Jestem nadwra¿liwy.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"267","skala4_r37","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Kiedy nie mam ochoty, nie pojawiam siê w pracy.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"268","skala4_r38","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Bardzo rzadko czujê siê czymœ podekscytowany.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"269","skala4_r39","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Nie dbam o to, ¿e raniê czyjeœ uczucia.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"270","skala4_r40","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Bardzo wa¿ne jest dla mnie, aby czuæ siê pewnie i bezpiecznie.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"271","skala4_r41","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Czêsto czujê na przemian radoœæ i smutek.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"272","skala4_r42","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Nie dbam o to, ¿eby trzymaæ siê jakichœ planów lub harmonogramu.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"273","skala4_r43","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Odzywam siê znacznie rzadziej ni¿ wiêkszoœæ innych ludzi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"274","skala4_r44","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Jestem osob¹, która manipuluje innymi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"275","skala4_r45","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Ka¿d¹ decyzjê rozwa¿am bardzo szczegó³owo.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"276","skala4_r46","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Czêsto odczuwam lêk bez ¿adnego konkretnego powodu.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"277","skala4_r47","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Czêsto robiê coœ bez zastanowienia.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"278","skala4_r48","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Nie mia³bym nic przeciwko temu, ¿eby ¿yæ zupe³nie sam, bez ¿adnego kontaktu z ludŸmi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"279","skala4_r49","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Mam du¿e doœwiadczenie w konfrontacjach z innymi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"280","skala4_r50","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Czerpiê dumê z wykonywania pracy wysokiej jakoœci.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"281","skala4_r51","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Czêsto czujê siê zagro¿ony.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"282","skala4_kontr","Pytanie kontrolne - W tym pytaniu proszê zaznaczyæ opcjê 3 - ani siê zgadzam ani nie zgadzam.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"283","skala4_r52","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Wydajê pieni¹dze na przyjemnoœci, nawet kiedy mam niezap³acone rachunki.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"284","skala4_r53","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Nie odczuwam emocji tak silnie, jak inni ludzie.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"285","skala4_r54","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - By³bym dobrym ¿o³nierzem, poniewa¿ nie przejmowa³bym siê tym, ¿e kogoœ krzywdzê.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"286","skala4_r55","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Zwykle jestem bardzo uwa¿ny i ostro¿ny.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"287","skala4_r56","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Moje nastroje zmieniaj¹ siê du¿o czêœciej ni¿ u innych ludzi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"288","skala4_r57","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Kiedy nad czymœ pracujê, nie trzymam siê ¿adnych planów ani instrukcji.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"289","skala4_r58","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - W sytuacjach spo³ecznych jestem zawsze samotnikiem.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"290","skala4_r59","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Skutecznie oszukiwa³em innych i manipulowa³em nimi.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
"291","skala4_r60","Proszê przeczytaj ka¿de stwierdzenie i wska¿ odpowiedŸ, która najlepiej opisuje Twoj¹ zgodê lub niezgodê z nim: - Bardzo podoba mi siê motto „pomyœl, zanim coœ zrobisz”.","1:1 zdecydowanie nie zgadzam siê z tym stwierdzeniem, 2:2 nie zgadzam siê, 3:3 ani siê zgadzam ani nie zgadzam, 4:4 zgadzam siê, 5:5 zdecydowanie zgadzam siê z tym stwierdzeniem"
